Linux 5.19.0-43-generic (ubuntu) 	06/09/2023 	_x86_64_	(6 CPU)

10:30:47 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:30:48 AM     0     29274    2.97   14.85    0.00    8.91   17.82     1  quiche-client
10:30:49 AM     0     29274    4.00   13.00    0.00    3.00   17.00     0  quiche-client
10:30:50 AM     0     29274    4.00   16.00    0.00    3.00   20.00     5  quiche-client
10:30:51 AM     0     29274    4.00   13.00    0.00    7.00   17.00     4  quiche-client
10:30:52 AM     0     29274    3.96    9.90    0.00    4.95   13.86     4  quiche-client
10:30:53 AM     0     29274    6.00   11.00    0.00    3.00   17.00     4  quiche-client
10:30:54 AM     0     29274    3.00   15.00    0.00    4.00   18.00     3  quiche-client
10:30:55 AM     0     29274    2.00   12.00    0.00    4.00   14.00     4  quiche-client
10:30:56 AM     0     29274    5.00    7.00    0.00    7.00   12.00     3  quiche-client
10:30:57 AM     0     29274    4.95    7.92    0.00    4.95   12.87     0  quiche-client
10:30:58 AM     0     29274    6.00   11.00    0.00    4.00   17.00     4  quiche-client
10:30:59 AM     0     29274    3.00   13.00    0.00    4.00   16.00     3  quiche-client
