Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

04:58:23 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:58:24 AM     0     29198    0.00    0.00    0.00    0.00    0.00     5  quiche-server
04:58:25 AM     0     29198    0.00    0.00    0.00    0.00    0.00     5  quiche-server
04:58:26 AM     0     29198    0.00    0.00    0.00    0.00    0.00     5  quiche-server
04:58:27 AM     0     29198    0.00    0.00    0.00    0.00    0.00     5  quiche-server
04:58:28 AM     0     29198    0.00    0.00    0.00    0.00    0.00     5  quiche-server
04:58:29 AM     0     29198    0.00    0.00    0.00    0.00    0.00     5  quiche-server
04:58:30 AM     0     29198    0.00    0.00    0.00    0.00    0.00     5  quiche-server
04:58:31 AM     0     29198    1.00    8.00    0.00    3.00    9.00     4  quiche-server
04:58:32 AM     0     29198    5.00    1.00    0.00    3.00    6.00     0  quiche-server
04:58:33 AM     0     29198    6.00    1.00    0.00    3.00    7.00     2  quiche-server
04:58:34 AM     0     29198    3.96    0.99    0.00    0.99    4.95     1  quiche-server
04:58:35 AM     0     29198    5.00    0.00    0.00    3.00    5.00     3  quiche-server
04:58:36 AM     0     29198    4.00    2.00    0.00    3.00    6.00     4  quiche-server
04:58:37 AM     0     29198    5.00    0.00    0.00    2.00    5.00     1  quiche-server
04:58:38 AM     0     29198    3.96    2.97    0.00    1.98    6.93     2  quiche-server
04:58:39 AM     0     29198    1.98    0.99    0.00    2.97    2.97     0  quiche-server
04:58:40 AM     0     29198    5.00    1.00    0.00    1.00    6.00     0  quiche-server
04:58:41 AM     0     29198    3.00    1.00    0.00    2.00    4.00     4  quiche-server
04:58:42 AM     0     29198    5.00    2.00    0.00    5.00    7.00     4  quiche-server
04:58:43 AM     0     29198    4.00    5.00    0.00    2.00    9.00     0  quiche-server
04:58:44 AM     0     29198    4.95    2.97    0.00    1.98    7.92     4  quiche-server
04:58:45 AM     0     29198    3.00    3.00    0.00    2.00    6.00     3  quiche-server
04:58:46 AM     0     29198    5.00    1.00    0.00    1.00    6.00     2  quiche-server
04:58:47 AM     0     29198    6.00    0.00    0.00    2.00    6.00     2  quiche-server
04:58:48 AM     0     29198    4.00    3.00    0.00    3.00    7.00     0  quiche-server
04:58:49 AM     0     29198    4.00    2.00    0.00    2.00    6.00     1  quiche-server
04:58:50 AM     0     29198    6.00    0.00    0.00    1.00    6.00     0  quiche-server
04:58:51 AM     0     29198    4.95    1.98    0.00    1.98    6.93     2  quiche-server
04:58:52 AM     0     29198    5.00    0.00    0.00    3.00    5.00     5  quiche-server
04:58:53 AM     0     29198    3.00    3.00    0.00    0.00    6.00     0  quiche-server
04:58:54 AM     0     29198    7.00    0.00    0.00    1.00    7.00     2  quiche-server
04:58:55 AM     0     29198    5.00    0.00    0.00    4.00    5.00     2  quiche-server
04:58:56 AM     0     29198    0.00    0.00    0.00    0.00    0.00     2  quiche-server
04:58:57 AM     0     29198    0.00    0.99    0.00    0.00    0.99     2  quiche-server
04:58:58 AM     0     29198    0.00    0.00    0.00    0.00    0.00     2  quiche-server
04:58:59 AM     0     29198    0.00    0.00    0.00    0.00    0.00     2  quiche-server
04:59:00 AM     0     29198    0.00    0.00    0.00    0.00    0.00     2  quiche-server
04:59:01 AM     0     29198    0.00    0.00    0.00    0.00    0.00     2  quiche-server
