Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:33:10 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:33:11 AM     0     32811    1.00    3.00    0.00    0.00    4.00     4  python3
05:33:12 AM     0     32811    3.00    6.00    0.00    4.00    9.00     0  python3
05:33:13 AM     0     32811    3.00   14.00    0.00    5.00   17.00     3  python3
05:33:14 AM     0     32811    2.00   14.00    0.00   10.00   16.00     3  python3
05:33:15 AM     0     32811    3.00   13.00    0.00    4.00   16.00     5  python3
05:33:16 AM     0     32811    1.98   13.86    0.00    4.95   15.84     4  python3
05:33:17 AM     0     32811    4.00   10.00    0.00    8.00   14.00     4  python3
05:33:18 AM     0     32811    2.97   14.85    0.00    6.93   17.82     1  python3
05:33:19 AM     0     32811    2.97   14.85    0.00    7.92   17.82     4  python3
05:33:20 AM     0     32811    4.00   14.00    0.00    7.00   18.00     2  python3
05:33:21 AM     0     32811    2.00   14.00    0.00    5.00   16.00     4  python3
05:33:22 AM     0     32811    3.00    9.00    0.00    9.00   12.00     1  python3
05:33:23 AM     0     32811    3.00   14.00    0.00    8.00   17.00     2  python3
05:33:24 AM     0     32811    2.94   15.69    0.00    9.80   18.63     3  python3
05:33:25 AM     0     32811    3.00   14.00    0.00    9.00   17.00     3  python3
05:33:26 AM     0     32811    2.97   10.89    0.00    6.93   13.86     0  python3
05:33:27 AM     0     32811    4.00   17.00    0.00   10.00   21.00     4  python3
05:33:28 AM     0     32811    2.00   14.00    0.00    8.00   16.00     1  python3
05:33:29 AM     0     32811    3.00   16.00    0.00    8.00   19.00     1  python3
05:33:30 AM     0     32811    5.00   16.00    0.00    9.00   21.00     3  python3
05:33:31 AM     0     32811    2.00   14.00    0.00    6.00   16.00     0  python3
05:33:32 AM     0     32811    7.00   13.00    0.00    8.00   20.00     1  python3
05:33:33 AM     0     32811    2.97   12.87    0.00    6.93   15.84     0  python3
05:33:34 AM     0     32811    2.00   21.00    0.00    8.00   23.00     0  python3
05:33:35 AM     0     32811    4.00   13.00    0.00    8.00   17.00     0  python3
05:33:36 AM     0     32811    3.96    9.90    0.00    6.93   13.86     1  python3
05:33:37 AM     0     32811    3.96   10.89    0.00    5.94   14.85     2  python3
05:33:38 AM     0     32811    2.00   17.00    0.00    9.00   19.00     2  python3
05:33:39 AM     0     32811    1.98   16.83    0.00    9.90   18.81     1  python3
05:33:40 AM     0     32811    4.00   27.00    0.00    6.00   31.00     3  python3
