Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:14:04 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:14:05 AM     0     30768    0.99    0.00    0.00    0.00    0.99     1  python3
05:14:06 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:14:07 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:14:08 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:14:09 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:14:10 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:14:11 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:14:12 AM     0     30768    1.00    2.00    0.00    0.00    3.00     2  python3
05:14:13 AM     0     30768    0.00    1.00    0.00    1.00    1.00     4  python3
05:14:14 AM     0     30768    0.00    1.00    0.00    0.00    1.00     3  python3
05:14:15 AM     0     30768    0.00    1.00    0.00    1.00    1.00     3  python3
05:14:16 AM     0     30768    0.00    1.00    0.00    0.00    1.00     4  python3
05:14:17 AM     0     30768    0.00    1.98    0.00    0.00    1.98     5  python3
05:14:18 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:14:19 AM     0     30768    0.00    1.00    0.00    0.00    1.00     5  python3
05:14:20 AM     0     30768    0.00    1.00    0.00    1.00    1.00     2  python3
05:14:21 AM     0     30768    0.00    1.00    0.00    0.00    1.00     2  python3
05:14:22 AM     0     30768    1.00    0.00    0.00    0.00    1.00     0  python3
05:14:23 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:14:24 AM     0     30768    0.00    1.98    0.00    0.00    1.98     0  python3
05:14:25 AM     0     30768    0.00    0.00    0.00    0.00    0.00     3  python3
05:14:26 AM     0     30768    0.00    1.00    0.00    0.00    1.00     5  python3
05:14:27 AM     0     30768    0.99    2.97    0.00    1.98    3.96     1  python3
05:14:28 AM     0     30768    0.00    1.00    0.00    1.00    1.00     1  python3
05:14:29 AM     0     30768    1.00    3.00    0.00    1.00    4.00     1  python3
05:14:30 AM     0     30768    0.00    2.00    0.00    0.00    2.00     1  python3
05:14:31 AM     0     30768    0.99    0.00    0.00    0.00    0.99     2  python3
05:14:32 AM     0     30768    0.00    1.00    0.00    0.00    1.00     5  python3
05:14:33 AM     0     30768    0.00    0.00    0.00    0.00    0.00     4  python3
05:14:34 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:14:35 AM     0     30768    0.00    1.00    0.00    0.00    1.00     3  python3
05:14:36 AM     0     30768    0.00    2.00    0.00    1.00    2.00     5  python3
05:14:37 AM     0     30768    0.99    0.99    0.00    0.00    1.98     0  python3
05:14:38 AM     0     30768    0.00    0.00    0.00    0.00    0.00     2  python3
05:14:39 AM     0     30768    0.00    2.00    0.00    0.00    2.00     5  python3
05:14:40 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:14:41 AM     0     30768    0.00    1.00    0.00    1.00    1.00     5  python3
05:14:42 AM     0     30768    0.00    3.00    0.00    0.00    3.00     1  python3
05:14:43 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:14:44 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:14:45 AM     0     30768    0.00    2.00    0.00    1.00    2.00     2  python3
05:14:46 AM     0     30768    0.00    2.00    0.00    1.00    2.00     1  python3
05:14:47 AM     0     30768    0.00    0.99    0.00    0.00    0.99     2  python3
05:14:48 AM     0     30768    0.00    2.00    0.00    0.00    2.00     3  python3
05:14:49 AM     0     30768    0.00    0.99    0.00    0.99    0.99     1  python3
05:14:50 AM     0     30768    1.00    0.00    0.00    0.00    1.00     0  python3
05:14:51 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:14:52 AM     0     30768    0.00    1.00    0.00    0.00    1.00     1  python3
05:14:53 AM     0     30768    0.00    1.00    0.00    0.00    1.00     2  python3
05:14:54 AM     0     30768    0.00    0.00    0.00    0.00    0.00     4  python3
05:14:55 AM     0     30768    0.00    0.00    0.00    0.00    0.00     4  python3
05:14:56 AM     0     30768    0.00    0.00    0.00    0.00    0.00     3  python3
05:14:57 AM     0     30768    0.00    1.00    0.00    0.00    1.00     0  python3
05:14:58 AM     0     30768    0.00    0.99    0.00    0.00    0.99     2  python3
05:14:59 AM     0     30768    0.00    0.00    0.00    0.00    0.00     2  python3
05:15:00 AM     0     30768    0.00    0.99    0.00    0.00    0.99     4  python3
05:15:01 AM     0     30768    0.00    1.00    0.00    1.00    1.00     2  python3
05:15:02 AM     0     30768    0.00    2.00    0.00    0.00    2.00     0  python3
05:15:03 AM     0     30768    0.00    2.00    0.00    0.00    2.00     5  python3
05:15:04 AM     0     30768    0.00    2.00    0.00    0.00    2.00     2  python3
05:15:05 AM     0     30768    0.00    1.00    0.00    0.00    1.00     2  python3
05:15:06 AM     0     30768    0.00    1.00    0.00    1.00    1.00     5  python3
05:15:07 AM     0     30768    0.00    2.00    0.00    0.00    2.00     4  python3
05:15:08 AM     0     30768    0.99    0.00    0.00    0.99    0.99     5  python3
05:15:09 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:15:10 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:15:11 AM     0     30768    0.00    2.00    0.00    1.00    2.00     3  python3
05:15:12 AM     0     30768    1.00    1.00    0.00    0.00    2.00     0  python3
05:15:13 AM     0     30768    0.00    0.99    0.00    0.99    0.99     3  python3
05:15:14 AM     0     30768    0.00    0.00    0.00    0.00    0.00     3  python3
05:15:15 AM     0     30768    0.00    1.00    0.00    0.00    1.00     2  python3
05:15:16 AM     0     30768    0.00    0.00    0.00    1.00    0.00     2  python3
05:15:17 AM     0     30768    0.00    1.00    0.00    0.00    1.00     3  python3
05:15:18 AM     0     30768    0.00    1.00    0.00    0.00    1.00     4  python3
05:15:19 AM     0     30768    0.99    1.98    0.00    1.98    2.97     1  python3
05:15:20 AM     0     30768    0.00    1.00    0.00    0.00    1.00     1  python3
05:15:21 AM     0     30768    0.00    0.00    0.00    0.00    0.00     2  python3
05:15:22 AM     0     30768    0.00    0.99    0.00    0.00    0.99     2  python3
05:15:23 AM     0     30768    0.00    0.00    0.00    0.00    0.00     1  python3
05:15:24 AM     0     30768    0.00    1.00    0.00    0.00    1.00     2  python3
