Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:33:04 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:33:05 AM     0     32788    0.00    0.00    0.00    0.00    0.00     0  python3
05:33:06 AM     0     32788    0.00    0.00    0.00    0.00    0.00     0  python3
05:33:07 AM     0     32788    0.00    0.00    0.00    0.00    0.00     0  python3
05:33:08 AM     0     32788    0.00    0.00    0.00    0.00    0.00     0  python3
05:33:09 AM     0     32788    0.00    0.00    0.00    0.00    0.00     0  python3
05:33:10 AM     0     32788    0.00    0.00    0.00    0.00    0.00     0  python3
05:33:11 AM     0     32788    0.00    1.00    0.00    0.00    1.00     0  python3
05:33:12 AM     0     32788    0.99    5.94    0.00    1.98    6.93     3  python3
05:33:13 AM     0     32788    4.00   13.00    0.00   15.00   17.00     3  python3
05:33:14 AM     0     32788    1.00   21.00    0.00    8.00   22.00     1  python3
05:33:15 AM     0     32788    3.85   13.46    0.00   12.50   17.31     5  python3
05:33:16 AM     0     32788    1.00   13.00    0.00   13.00   14.00     5  python3
05:33:17 AM     0     32788    1.98   12.87    0.00   13.86   14.85     3  python3
05:33:18 AM     0     32788    2.00   19.00    0.00    7.00   21.00     1  python3
05:33:19 AM     0     32788    1.00   16.00    0.00   12.00   17.00     3  python3
05:33:20 AM     0     32788    3.00   11.00    0.00    9.00   14.00     5  python3
05:33:21 AM     0     32788    3.00   13.00    0.00    9.00   16.00     1  python3
05:33:22 AM     0     32788    2.97   15.84    0.00    8.91   18.81     5  python3
05:33:23 AM     0     32788    4.00   15.00    0.00   12.00   19.00     4  python3
05:33:24 AM     0     32788    1.00   15.00    0.00   13.00   16.00     5  python3
05:33:25 AM     0     32788    1.98   11.88    0.00   10.89   13.86     2  python3
05:33:26 AM     0     32788    2.00   15.00    0.00   10.00   17.00     2  python3
05:33:27 AM     0     32788    3.00   10.00    0.00   10.00   13.00     0  python3
05:33:28 AM     0     32788    2.00   13.00    0.00    6.00   15.00     3  python3
05:33:29 AM     0     32788    0.99   15.84    0.00    8.91   16.83     1  python3
05:33:30 AM     0     32788    4.00   13.00    0.00   10.00   17.00     3  python3
05:33:31 AM     0     32788    2.00   15.00    0.00    9.00   17.00     2  python3
05:33:32 AM     0     32788    3.00   12.00    0.00   10.00   15.00     2  python3
05:33:33 AM     0     32788    3.00   10.00    0.00    8.00   13.00     5  python3
05:33:34 AM     0     32788    2.00   15.00    0.00   15.00   17.00     5  python3
05:33:35 AM     0     32788    2.97   13.86    0.00   11.88   16.83     0  python3
05:33:36 AM     0     32788    4.00   13.00    0.00   11.00   17.00     2  python3
05:33:37 AM     0     32788    2.00   15.00    0.00   10.00   17.00     1  python3
05:33:38 AM     0     32788    3.00   10.00    0.00   18.00   13.00     5  python3
05:33:39 AM     0     32788    3.00   13.00    0.00   14.00   16.00     1  python3
05:33:40 AM     0     32788    1.00    5.00    0.00    4.00    6.00     5  python3
05:33:41 AM     0     32788    0.00    0.00    0.00    0.00    0.00     5  python3
05:33:42 AM     0     32788    0.00    0.00    0.00    0.00    0.00     5  python3
05:33:43 AM     0     32788    0.00    0.00    0.00    0.00    0.00     5  python3
05:33:44 AM     0     32788    0.00    0.00    0.00    0.00    0.00     5  python3
05:33:45 AM     0     32788    0.00    0.00    0.00    0.00    0.00     5  python3
05:33:46 AM     0     32788    0.00    0.00    0.00    0.00    0.00     5  python3
