Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:31:04 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:31:05 AM     0     32524    0.00    0.00    0.00    0.00    0.00     2  python3
05:31:06 AM     0     32524    3.00    9.00    0.00    7.00   12.00     5  python3
05:31:07 AM     0     32524    2.00   10.00    0.00    8.00   12.00     5  python3
05:31:08 AM     0     32524    2.00   16.00    0.00   11.00   18.00     3  python3
05:31:09 AM     0     32524    3.96   12.87    0.00    5.94   16.83     2  python3
05:31:10 AM     0     32524    2.00   16.00    0.00    8.00   18.00     2  python3
05:31:11 AM     0     32524    4.00   14.00    0.00    6.00   18.00     3  python3
05:31:12 AM     0     32524    2.97   12.87    0.00    4.95   15.84     3  python3
05:31:13 AM     0     32524    3.00   14.00    0.00    7.00   17.00     5  python3
05:31:14 AM     0     32524    0.00   18.00    0.00    5.00   18.00     5  python3
05:31:15 AM     0     32524    2.00   13.00    0.00    7.00   15.00     4  python3
05:31:16 AM     0     32524    2.97   18.81    0.00    5.94   21.78     0  python3
05:31:17 AM     0     32524    3.96   15.84    0.00    7.92   19.80     1  python3
05:31:18 AM     0     32524    0.99   15.84    0.00   10.89   16.83     5  python3
05:31:19 AM     0     32524    2.00   16.00    0.00    9.00   18.00     0  python3
05:31:20 AM     0     32524    1.00   18.00    0.00   10.00   19.00     5  python3
05:31:21 AM     0     32524    3.00   15.00    0.00    7.00   18.00     4  python3
05:31:22 AM     0     32524    1.00   16.00    0.00    5.00   17.00     1  python3
05:31:23 AM     0     32524    3.00   12.00    0.00    7.00   15.00     2  python3
05:31:24 AM     0     32524    3.00   13.00    0.00    9.00   16.00     4  python3
05:31:25 AM     0     32524    3.96   16.83    0.00    7.92   20.79     4  python3
05:31:26 AM     0     32524    2.00   16.00    0.00    5.00   18.00     3  python3
05:31:27 AM     0     32524    3.00   15.00    0.00   10.00   18.00     1  python3
05:31:28 AM     0     32524    2.00   14.00    0.00    7.00   16.00     2  python3
05:31:29 AM     0     32524    2.00   18.00    0.00    8.00   20.00     3  python3
05:31:30 AM     0     32524    3.00   16.00    0.00    4.00   19.00     4  python3
05:31:31 AM     0     32524    2.97   18.81    0.00    8.91   21.78     4  python3
05:31:32 AM     0     32524    1.00   14.00    0.00    8.00   15.00     4  python3
05:31:33 AM     0     32524    3.00   19.00    0.00    9.00   22.00     4  python3
