Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

04:45:44 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:45 AM     0     26371    0.00    0.00    0.00    0.00    0.00     4  python3
04:45:46 AM     0     26371    0.00    0.00    0.00    0.00    0.00     4  python3
04:45:47 AM     0     26371    0.00    0.00    0.00    0.00    0.00     4  python3
04:45:48 AM     0     26371    0.00    0.00    0.00    0.00    0.00     4  python3
04:45:49 AM     0     26371    0.00    0.00    0.00    0.00    0.00     4  python3
04:45:50 AM     0     26371    0.00    0.00    0.00    0.00    0.00     4  python3
04:45:51 AM     0     26371    0.00    3.96    0.00    4.95    3.96     5  python3
04:45:52 AM     0     26371    4.00    9.00    0.00   13.00   13.00     2  python3
04:45:53 AM     0     26371    2.00   11.00    0.00    9.00   13.00     2  python3
04:45:54 AM     0     26371    3.96    8.91    0.00   11.88   12.87     0  python3
04:45:55 AM     0     26371    3.00   10.00    0.00    8.00   13.00     3  python3
04:45:56 AM     0     26371    2.97   10.89    0.00    9.90   13.86     3  python3
04:45:57 AM     0     26371    4.00   10.00    0.00    6.00   14.00     4  python3
04:45:58 AM     0     26371    4.00    9.00    0.00   10.00   13.00     1  python3
04:45:59 AM     0     26371    4.00   12.00    0.00    6.00   16.00     5  python3
04:46:00 AM     0     26371    2.97    7.92    0.00    5.94   10.89     3  python3
04:46:01 AM     0     26371    3.00    8.00    0.00    7.00   11.00     5  python3
04:46:02 AM     0     26371    4.00   11.00    0.00   10.00   15.00     3  python3
04:46:03 AM     0     26371    1.96   13.73    0.00    8.82   15.69     2  python3
04:46:04 AM     0     26371    3.00    9.00    0.00    5.00   12.00     2  python3
04:46:05 AM     0     26371    2.00   11.00    0.00    9.00   13.00     5  python3
04:46:06 AM     0     26371    3.00   10.00    0.00    8.00   13.00     4  python3
04:46:07 AM     0     26371    1.98   11.88    0.00    6.93   13.86     1  python3
04:46:08 AM     0     26371    1.00   11.00    0.00    9.00   12.00     0  python3
04:46:09 AM     0     26371    1.00   11.00    0.00    9.00   12.00     2  python3
04:46:10 AM     0     26371    2.00   12.00    0.00    9.00   14.00     3  python3
04:46:11 AM     0     26371    2.97   14.85    0.00    8.91   17.82     3  python3
04:46:12 AM     0     26371    1.00   14.00    0.00   12.00   15.00     4  python3
04:46:13 AM     0     26371    0.00   16.00    0.00    9.00   16.00     0  python3
04:46:14 AM     0     26371    1.00   11.00    0.00   12.00   12.00     1  python3
04:46:15 AM     0     26371    4.00   15.00    0.00   10.00   19.00     0  python3
04:46:16 AM     0     26371    1.98   10.89    0.00    9.90   12.87     5  python3
04:46:17 AM     0     26371    0.00    0.00    0.00    0.00    0.00     5  python3
04:46:18 AM     0     26371    0.00    0.00    0.00    0.00    0.00     5  python3
04:46:19 AM     0     26371    0.00    0.00    0.00    0.00    0.00     5  python3
