Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:20:10 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:20:11 AM     0     31324    0.00    0.00    0.00    0.00    0.00     4  python3
05:20:12 AM     0     31324    0.00    0.00    0.00    0.00    0.00     4  python3
05:20:13 AM     0     31324    0.00    0.00    0.00    0.00    0.00     4  python3
05:20:14 AM     0     31324    0.00    0.00    0.00    0.00    0.00     4  python3
05:20:15 AM     0     31324    1.00    1.00    0.00    0.00    2.00     5  python3
05:20:16 AM     0     31324    0.00    2.00    0.00    1.00    2.00     4  python3
05:20:17 AM     0     31324    0.00    0.99    0.00    0.00    0.99     0  python3
05:20:18 AM     0     31324    0.00    1.00    0.00    0.00    1.00     1  python3
05:20:19 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:20:20 AM     0     31324    0.00    1.00    0.00    0.00    1.00     0  python3
05:20:21 AM     0     31324    0.99    0.00    0.00    0.00    0.99     0  python3
05:20:22 AM     0     31324    0.00    1.00    0.00    0.00    1.00     3  python3
05:20:23 AM     0     31324    1.00    1.00    0.00    1.00    2.00     3  python3
05:20:24 AM     0     31324    0.00    2.00    0.00    1.00    2.00     4  python3
05:20:25 AM     0     31324    0.00    1.00    0.00    0.00    1.00     4  python3
05:20:26 AM     0     31324    0.00    0.99    0.00    0.99    0.99     2  python3
05:20:27 AM     0     31324    1.00    1.00    0.00    0.00    2.00     0  python3
05:20:28 AM     0     31324    0.00    1.00    0.00    0.00    1.00     3  python3
05:20:29 AM     0     31324    0.00    1.00    0.00    0.00    1.00     0  python3
05:20:30 AM     0     31324    0.00    0.00    0.00    0.00    0.00     0  python3
05:20:31 AM     0     31324    0.00    1.00    0.00    0.00    1.00     0  python3
05:20:32 AM     0     31324    0.00    0.99    0.00    0.99    0.99     4  python3
05:20:33 AM     0     31324    0.00    0.00    0.00    0.00    0.00     4  python3
05:20:34 AM     0     31324    0.00    1.00    0.00    0.00    1.00     4  python3
05:20:35 AM     0     31324    0.00    1.00    0.00    0.00    1.00     0  python3
05:20:36 AM     0     31324    1.00    0.00    0.00    0.00    1.00     3  python3
05:20:37 AM     0     31324    0.00    2.97    0.00    0.00    2.97     0  python3
05:20:38 AM     0     31324    0.00    0.00    0.00    0.00    0.00     0  python3
05:20:39 AM     0     31324    0.00    3.00    0.00    1.00    3.00     1  python3
05:20:40 AM     0     31324    0.00    1.00    0.00    0.00    1.00     3  python3
05:20:41 AM     0     31324    0.00    0.99    0.00    0.99    0.99     4  python3
05:20:42 AM     0     31324    0.00    2.97    0.00    1.98    2.97     5  python3
05:20:43 AM     0     31324    0.00    1.00    0.00    0.00    1.00     0  python3
05:20:44 AM     0     31324    0.00    1.00    0.00    0.00    1.00     3  python3
05:20:45 AM     0     31324    0.99    0.99    0.00    0.00    1.98     3  python3
05:20:46 AM     0     31324    0.00    3.96    0.00    0.99    3.96     1  python3
05:20:47 AM     0     31324    0.00    1.00    0.00    0.00    1.00     4  python3
05:20:48 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:20:49 AM     0     31324    0.00    1.00    0.00    0.00    1.00     2  python3
05:20:50 AM     0     31324    0.00    1.00    0.00    1.00    1.00     2  python3
05:20:51 AM     0     31324    0.00    0.99    0.00    0.00    0.99     2  python3
05:20:52 AM     0     31324    1.00    1.00    0.00    1.00    2.00     3  python3
05:20:53 AM     0     31324    0.00    2.00    0.00    0.00    2.00     5  python3
05:20:54 AM     0     31324    1.00    1.00    0.00    1.00    2.00     4  python3
05:20:55 AM     0     31324    0.00    0.99    0.00    0.00    0.99     2  python3
05:20:56 AM     0     31324    0.00    1.00    0.00    0.00    1.00     1  python3
05:20:57 AM     0     31324    1.00    0.00    0.00    0.00    1.00     1  python3
05:20:58 AM     0     31324    0.00    1.00    0.00    1.00    1.00     0  python3
05:20:59 AM     0     31324    0.00    1.00    0.00    1.00    1.00     1  python3
05:21:00 AM     0     31324    0.00    0.99    0.00    0.00    0.99     2  python3
