Linux 5.19.0-43-generic (ubuntu) 	06/09/2023 	_x86_64_	(6 CPU)

08:32:44 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:32:45 AM     0     26477    0.00    0.00    0.00    0.00    0.00     1  quiche-server
08:32:46 AM     0     26477    0.00    0.00    0.00    0.00    0.00     1  quiche-server
08:32:47 AM     0     26477    0.00    0.00    0.00    0.00    0.00     1  quiche-server
08:32:48 AM     0     26477    0.00    0.00    0.00    0.00    0.00     1  quiche-server
08:32:49 AM     0     26477    0.00    0.00    0.00    0.00    0.00     1  quiche-server
08:32:50 AM     0     26477    0.00    0.00    0.00    0.00    0.00     1  quiche-server
08:32:51 AM     0     26477    0.00    3.33    0.00    0.00    3.33     2  quiche-server
08:32:52 AM     0     26477    1.98    4.95    0.00    3.96    6.93     2  quiche-server
08:32:53 AM     0     26477    4.00    2.00    0.00    0.00    6.00     1  quiche-server
08:32:54 AM     0     26477    1.98    1.98    0.00    2.97    3.96     2  quiche-server
08:32:55 AM     0     26477    4.00    3.00    0.00    1.00    7.00     5  quiche-server
08:32:56 AM     0     26477    2.97    3.96    0.00    1.98    6.93     2  quiche-server
08:32:57 AM     0     26477    4.00    1.00    0.00    3.00    5.00     4  quiche-server
08:32:58 AM     0     26477    3.00    2.00    0.00    0.00    5.00     5  quiche-server
08:32:59 AM     0     26477    3.00    1.00    0.00    2.00    4.00     5  quiche-server
08:33:00 AM     0     26477    3.00    2.00    0.00    2.00    5.00     2  quiche-server
08:33:01 AM     0     26477    1.98    1.98    0.00    0.99    3.96     1  quiche-server
08:33:02 AM     0     26477    2.00    1.00    0.00    0.00    3.00     3  quiche-server
08:33:03 AM     0     26477    4.00    1.00    0.00    1.00    5.00     2  quiche-server
08:33:04 AM     0     26477    4.00    3.00    0.00    2.00    7.00     2  quiche-server
08:33:05 AM     0     26477    4.00    2.00    0.00    1.00    6.00     3  quiche-server
08:33:06 AM     0     26477    2.97    1.98    0.00    3.96    4.95     2  quiche-server
08:33:07 AM     0     26477    2.00    2.00    0.00    1.00    4.00     4  quiche-server
08:33:08 AM     0     26477    2.00    1.00    0.00    0.00    3.00     2  quiche-server
